sex	polut	age	count
    1.00	    1.00	   12.20	    7.00
    1.00	    1.00	   18.60	    3.00
    1.00	    1.00	   25.30	    8.00
    1.00	    1.00	   33.60	   11.00
    1.00	    1.00	   38.60	    7.00
    1.00	    1.00	   43.80	    5.00
    1.00	    1.00	   52.80	    9.00
    1.00	    1.00	   60.10	    6.00
    1.00	    1.00	   64.70	    6.00
    1.00	    1.00	   72.70	    6.00
    1.00	    2.00	    8.90	   12.00
    1.00	    2.00	   19.60	    5.00
    1.00	    2.00	   25.90	   13.00
    1.00	    2.00	   31.50	   10.00
    1.00	    2.00	   39.20	   12.00
    1.00	    2.00	   45.30	    6.00
    1.00	    2.00	   53.60	    6.00
    1.00	    2.00	   57.70	   10.00
    1.00	    2.00	   66.00	   14.00
    1.00	    2.00	   72.10	    8.00
    1.00	    3.00	   11.60	    9.00
    1.00	    3.00	   17.20	    3.00
    1.00	    3.00	   24.50	   10.00
    1.00	    3.00	   31.00	    7.00
    1.00	    3.00	   37.90	    6.00
    1.00	    3.00	   45.20	   10.00
    1.00	    3.00	   52.50	    6.00
    1.00	    3.00	   58.20	    9.00
    1.00	    3.00	   65.30	    8.00
    1.00	    3.00	   71.40	    9.00
    2.00	    1.00	   13.50	    3.00
    2.00	    1.00	   17.60	    4.00
    2.00	    1.00	   24.80	    8.00
    2.00	    1.00	   32.30	    5.00
    2.00	    1.00	   38.50	    4.00
    2.00	    1.00	   45.40	    8.00
    2.00	    1.00	   52.20	    9.00
    2.00	    1.00	   58.20	    6.00
    2.00	    1.00	   64.40	   12.00
    2.00	    1.00	   71.50	   11.00
    2.00	    2.00	   12.50	    8.00
    2.00	    2.00	   18.30	    9.00
    2.00	    2.00	   26.00	    7.00
    2.00	    2.00	   30.90	    7.00
    2.00	    2.00	   39.90	   11.00
    2.00	    2.00	   46.30	   11.00
    2.00	    2.00	   52.20	   10.00
    2.00	    2.00	   58.50	    5.00
    2.00	    2.00	   66.50	   10.00
    2.00	    2.00	   73.60	   12.00
    2.00	    3.00	    9.60	    7.00
    2.00	    3.00	   17.50	   11.00
    2.00	    3.00	   25.70	    6.00
    2.00	    3.00	   30.10	    8.00
    2.00	    3.00	   38.60	    5.00
    2.00	    3.00	   46.10	    7.00
    2.00	    3.00	   51.90	   13.00
    2.00	    3.00	   59.30	   13.00
    2.00	    3.00	   65.60	    9.00
    2.00	    3.00	   72.60	    8.00
