before	after
   60.00	   56.00
   72.00	   69.00
   62.00	   61.00
   75.00	   72.00
   69.00	   65.00
   73.00	   72.00
   61.00	   59.00
   72.00	   73.00
   78.00	   81.00
   81.00	   75.00
   69.00	   64.00
   62.00	   60.00
   76.00	   79.00
   66.00	   62.00
   73.00	   72.00
   64.00	   66.00
   72.00	   74.00
   79.00	   77.00
   57.00	   57.00
   69.00	   69.00
   86.00	   82.00
   67.00	   66.00
   77.00	   73.00
   58.00	   59.00
   69.00	   78.00
   61.00	   58.00
   85.00	   77.00
   72.00	   75.00
   86.00	   78.00
   73.00	   71.00
   85.00	   83.00
   75.00	   81.00
   53.00	   50.00
   67.00	   67.00
   59.00	   54.00
   72.00	   64.00
   67.00	   67.00
   67.00	   66.00
   68.00	   76.00
   72.00	   71.00
   56.00	   53.00
   74.00	   76.00
   76.00	   71.00
   80.00	   77.00
   63.00	   59.00
   80.00	   76.00
   86.00	   76.00
   69.00	   68.00
   83.00	   75.00
   58.00	   50.00
