group	is	se	sa	prr	ms	msr	cp	cs
           1.00	          43.20	            .00	           8.50	         214.10	          23.20	          95.40	          15.40	           8.60
           1.00	          42.20	            .10	          14.40	          61.80	          15.40	          47.50	          22.60	           9.10
           1.00	           2.00	            .10	          10.70	         248.20	          14.50	          53.90	          18.90	           8.70
           1.00	          34.40	            .20	          14.20	         123.80	          21.30	          62.40	          12.90	           8.20
           1.00	          31.80	            .00	           5.80	         268.10	           2.80	          60.10	          24.90	           9.40
           1.00	          22.70	            .20	          12.00	         153.50	           3.40	          97.20	          27.90	           8.70
           1.00	          41.80	            .10	          14.80	         140.30	           1.80	          53.60	          12.20	           8.40
           1.00	          37.80	            .20	          15.40	         197.00	           8.90	          73.80	          25.90	           9.40
           1.00	          24.60	            .10	          14.80	          95.80	          24.20	          69.90	          21.30	           7.70
           1.00	          22.00	            .20	          15.80	         256.70	          10.60	          32.90	          26.90	           9.30
           1.00	          18.00	            .20	           7.40	         271.90	          17.50	          96.10	          10.80	           7.20
           1.00	          11.90	            .00	          15.80	         162.00	          12.20	          55.50	          13.00	           7.10
           1.00	          41.70	            .10	          15.00	         175.50	          19.30	          35.30	          24.10	           7.80
           1.00	          19.30	            .10	          12.10	         217.70	           8.80	          89.20	          14.40	           8.20
           1.00	          43.20	            .30	           7.20	         131.90	           8.20	          46.00	          12.20	           9.30
           1.00	          13.40	            .20	          11.30	         161.50	          18.20	          68.30	          13.80	           9.40
           1.00	          26.00	            .20	          11.60	         185.90	          12.80	          76.70	          24.80	           7.00
           1.00	          22.00	            .10	          15.10	         190.00	          11.70	          59.80	          29.80	           7.10
           1.00	           7.20	            .00	          15.00	          64.80	          22.90	          80.70	          24.10	           7.00
           1.00	           8.20	            .20	           8.00	         115.10	           9.60	          32.60	          15.50	           8.90
           1.00	           9.60	            .10	          15.20	          78.30	          13.10	          40.40	          14.20	           9.40
           1.00	          12.00	            .20	           6.50	         175.20	          13.60	          66.90	          10.10	           8.10
           1.00	          33.00	            .30	          13.00	         121.00	          24.50	          74.90	          12.30	           7.50
           1.00	          29.00	            .20	          18.80	          94.10	           1.30	          94.70	          24.70	           9.20
           1.00	          40.40	            .30	          13.20	         167.00	           5.00	          45.60	          25.60	           9.70
           1.00	          22.50	            .20	          19.00	         117.50	          24.70	          70.50	          10.30	           7.60
           1.00	          26.00	            .00	           6.40	          93.20	           4.80	          93.00	          26.40	           8.70
           1.00	          40.80	            .20	          14.40	         291.80	           9.90	          34.00	          14.90	           8.90
           1.00	            .60	            .30	           9.70	         225.90	          21.70	          77.70	          26.30	           8.50
           1.00	          33.60	            .20	           9.00	          57.90	           2.70	          50.60	          26.70	           7.60
           2.00	          51.90	            .50	          37.40	          10.20	          36.40	           3.50	           7.30	           6.70
           2.00	          54.80	            .50	          38.20	          25.90	          26.60	          18.40	          14.30	           7.30
           2.00	          64.00	            .40	          59.70	          16.60	          25.90	          13.30	          13.90	           6.50
           2.00	          37.90	            .30	          21.30	          -3.20	          32.10	          38.10	          13.90	           5.70
           2.00	          46.20	            .70	          14.20	          -8.00	          17.90	          49.50	          15.80	           6.50
           2.00	          74.00	            .60	          59.70	          61.50	          15.80	          11.60	           8.40	           5.00
           2.00	          55.40	            .30	          15.30	          11.20	          23.20	          25.00	           8.50	           5.60
           2.00	          65.90	            .30	          42.60	          -2.40	          34.50	          44.40	           6.60	           5.70
           2.00	          74.20	            .40	          28.70	          43.90	          21.10	          32.20	          16.40	           5.40
           2.00	          63.60	            .50	          17.50	          26.40	          38.40	          14.10	          19.30	           7.70
           2.00	          53.90	            .30	          28.00	          38.90	          22.80	          11.20	          16.30	           5.00
           2.00	          39.80	            .60	          49.20	          -8.20	          17.70	          25.80	           7.80	           6.20
           2.00	          63.70	            .20	          42.30	          12.30	          20.60	          22.70	          14.50	           6.20
           2.00	          47.20	            .50	          24.00	          41.40	          32.30	          38.00	          16.40	           7.30
           2.00	          66.00	            .50	          47.40	          -1.50	          28.00	           7.00	          12.20	           7.10
           2.00	          40.50	            .20	          24.40	          68.20	          26.70	          31.50	          19.00	           6.50
           2.00	          35.70	            .50	          33.60	          17.80	          15.00	          11.30	          19.10	           6.10
           2.00	          66.70	            .70	          48.30	          28.20	          32.50	          41.50	           5.90	           6.50
           2.00	          64.00	            .30	          38.70	          56.20	          31.70	          16.00	          17.70	           5.60
           2.00	          70.20	            .70	          25.60	          37.50	          29.80	          32.30	           8.70	           7.80
           2.00	          51.50	            .20	          38.30	          67.80	          24.50	          28.60	           6.10	           7.20
           2.00	          43.90	            .70	          56.80	           1.80	          32.40	          23.30	           6.90	           5.60
           2.00	          67.20	            .40	          43.20	          95.40	          19.40	           7.60	           6.00	           7.00
           2.00	          57.00	            .70	          18.10	          -4.80	          28.10	          46.00	           9.50	           7.00
           2.00	          51.20	            .50	          19.60	          89.30	          22.80	           4.10	          17.90	           6.90
           2.00	          57.20	            .60	          25.50	          66.50	          19.30	          47.00	           7.00	           7.00
           2.00	          69.70	            .60	          39.30	          88.00	          16.10	          35.40	          15.40	           5.30
           2.00	          36.30	            .30	          10.70	          25.20	          38.40	           8.30	           6.20	           5.60
           2.00	          43.70	            .50	          46.40	          82.50	          19.50	          13.10	           6.70	           7.40
           2.00	          67.10	            .60	          51.90	          98.30	          20.70	           2.50	          10.20	           5.30
           3.00	          72.90	            .60	          75.40	           7.70	          37.80	           7.20	           9.20	           2.20
           3.00	          82.90	            .60	          61.30	         -35.80	          39.10	          10.30	           7.60	           6.10
           3.00	          78.10	            .70	          54.40	         -10.90	          47.00	           1.70	           8.90	           1.20
           3.00	          82.30	            .90	          62.90	         -77.00	          38.60	           1.00	           9.40	           1.10
           3.00	          87.60	            .70	          58.40	         -88.00	          38.60	          -1.10	           2.50	           4.70
           3.00	          92.40	            .70	          68.70	         -51.70	          49.20	          -8.40	           9.70	           5.70
           3.00	          98.30	           1.00	          52.50	         -34.70	          46.80	           7.60	           8.10	           5.20
           3.00	          94.30	            .90	          51.60	         -64.60	          39.40	          -2.30	           5.00	           3.10
           3.00	          69.50	            .80	          51.20	         -60.80	          45.20	          14.20	           8.20	           4.30
           3.00	          97.60	            .80	          68.00	          12.60	          43.00	          18.60	           7.40	           1.70
           3.00	          89.40	           1.00	          63.60	         -35.10	          32.40	          12.50	           3.30	           1.60
           3.00	          66.70	            .80	          73.70	         -56.90	          37.00	           7.30	           3.60	           2.90
           3.00	          96.90	           1.00	          55.00	            .20	          40.50	          15.40	           2.20	           3.20
           3.00	          97.40	            .80	          58.50	         -11.40	          33.00	          -7.30	           9.60	           4.70
           3.00	          69.10	            .80	          75.60	           6.10	          37.70	          13.20	           5.70	           1.90
           3.00	          77.20	            .90	          66.00	         -12.20	          48.60	          16.40	           2.30	           3.40
           3.00	          82.60	            .90	          58.00	           7.20	          30.40	           4.40	           2.10	           2.20
           3.00	          95.10	            .80	          63.50	         -39.50	          46.10	           6.50	           7.30	           5.60
           3.00	          78.30	            .70	          73.80	          -9.60	          48.20	          11.10	           8.70	           5.30
           3.00	          65.20	            .50	          79.30	         -42.50	          42.70	           5.50	           8.70	           1.50
           3.00	          70.50	            .80	          79.50	           8.80	          40.30	          17.70	           8.10	           4.40
           3.00	          95.10	            .80	          51.60	           3.00	          49.40	          -1.60	           6.20	           4.10
           3.00	          81.60	            .90	          54.00	         -84.00	          45.60	          18.80	           6.50	           4.30
           3.00	          97.60	            .80	          62.10	         -24.20	          30.70	          12.10	           5.00	           4.80
           3.00	          92.90	            .70	          64.50	         -13.30	          39.80	           7.20	           4.90	           5.50
           3.00	          74.00	            .90	          56.80	         -98.90	          41.90	          -3.50	           9.90	           6.40
           3.00	          87.30	            .60	          65.00	          12.70	          38.10	           3.50	           5.20	           3.10
           3.00	          87.90	            .60	          53.70	         -82.60	          46.30	          -7.40	           3.00	           4.20
           3.00	          89.70	            .60	          73.70	         -17.80	          34.10	          -6.80	           5.80	           2.60
           3.00	          78.10	            .90	          57.90	          -4.10	          32.30	          -6.50	           3.10	           4.20
