ah	id
    8.20	    1.00
    5.60	    1.00
   10.90	    1.00
    6.90	    1.00
    9.90	    1.00
    6.20	    1.00
    9.30	    1.00
   12.10	    1.00
    3.40	    1.00
    8.20	    1.00
   14.80	    1.00
    7.50	    1.00
   11.50	    1.00
    3.90	    1.00
    8.40	    1.00
    5.10	    1.00
   14.40	    1.00
    9.60	    1.00
   14.70	    1.00
    9.70	    1.00
   14.60	    1.00
   10.60	    1.00
    2.00	    1.00
    7.50	    1.00
    4.10	    1.00
    9.30	    1.00
    7.50	    1.00
    7.30	    1.00
    7.90	    1.00
    9.30	    1.00
    3.10	    1.00
   10.10	    1.00
   11.10	    1.00
   12.40	    1.00
    5.80	    1.00
   12.50	    1.00
   15.00	    1.00
    8.30	    1.00
   13.80	    1.00
    4.00	    1.00
   13.30	    1.00
   11.00	    1.00
    4.40	    1.00
    2.80	    1.00
    8.60	    1.00
    2.40	    1.00
    4.20	    1.00
    4.50	    1.00
    1.20	    1.00
    3.40	    1.00
   12.90	    1.00
    4.90	    1.00
    3.20	    1.00
   10.60	    1.00
    5.40	    1.00
    8.20	    1.00
    8.60	    1.00
   11.70	    1.00
    5.30	    1.00
   12.50	    1.00
   10.60	    1.00
    6.90	    1.00
    8.50	    1.00
   12.20	    1.00
   14.30	    1.00
    7.90	    1.00
   13.10	    1.00
    6.10	    1.00
    7.50	    1.00
   12.10	    1.00
   10.10	    1.00
    6.00	    1.00
   13.40	    1.00
   12.60	    1.00
    9.00	    1.00
   18.10	    1.00
    9.70	    1.00
    7.60	    1.00
   14.60	    1.00
    6.30	    1.00
    6.00	    1.00
    3.40	    1.00
    5.20	    1.00
   19.20	    1.00
    9.70	    1.00
     .30	    1.00
    6.60	    1.00
    8.40	    1.00
    7.30	    1.00
    5.90	    1.00
   11.00	    1.00
    9.80	    1.00
    7.60	    1.00
    9.70	    1.00
   10.80	    1.00
    7.20	    1.00
    8.30	    1.00
    5.40	    1.00
    3.70	    1.00
   12.10	    1.00
    9.60	    2.00
   14.40	    2.00
     .60	    2.00
    4.50	    2.00
   14.60	    2.00
    1.80	    2.00
   12.50	    2.00
     .30	    2.00
    9.50	    2.00
    3.70	    2.00
     .20	    2.00
   13.60	    2.00
    2.30	    2.00
   10.20	    2.00
    9.20	    2.00
    5.20	    2.00
    3.80	    2.00
   12.50	    2.00
    3.60	    2.00
    9.60	    2.00
    2.40	    2.00
   16.60	    2.00
    4.40	    2.00
   14.40	    2.00
    3.70	    2.00
   12.30	    2.00
    5.50	    2.00
    5.30	    2.00
    6.70	    2.00
    9.00	    2.00
    9.10	    2.00
   13.80	    2.00
   10.80	    2.00
    4.00	    2.00
   14.40	    2.00
    9.70	    2.00
    4.90	    2.00
    7.40	    2.00
   14.30	    2.00
   15.20	    2.00
    6.30	    2.00
   14.20	    2.00
   13.50	    2.00
    3.60	    2.00
   11.10	    2.00
   13.80	    2.00
    5.30	    2.00
    6.00	    2.00
    3.90	    2.00
     .10	    2.00
    3.90	    2.00
    9.90	    2.00
    9.20	    2.00
   14.80	    2.00
   10.90	    2.00
   13.60	    2.00
   12.10	    2.00
    2.40	    2.00
   14.00	    2.00
   12.70	    2.00
    7.60	    2.00
    2.10	    2.00
   10.90	    2.00
    9.30	    2.00
    4.40	    2.00
   10.30	    2.00
   11.60	    2.00
    8.50	    2.00
   14.30	    2.00
   14.00	    2.00
    4.80	    2.00
   14.40	    2.00
    6.80	    2.00
    2.20	    2.00
    1.30	    2.00
    7.50	    2.00
    3.10	    2.00
   14.50	    2.00
   10.00	    2.00
    5.20	    2.00
     .70	    2.00
    1.90	    2.00
     .60	    2.00
    9.30	    2.00
    7.50	    2.00
   11.50	    2.00
    8.10	    2.00
    7.00	    2.00
    8.30	    2.00
    9.60	    2.00
   10.80	    2.00
    7.00	    2.00
     .50	    2.00
    6.80	    2.00
   10.30	    2.00
    5.20	    2.00
    7.20	    2.00
     .10	    2.00
    2.00	    2.00
   10.80	    2.00
   12.20	    2.00
     .70	    2.00
    4.80	    2.00
   17.50	    2.00
    6.10	    2.00
    8.20	    2.00
    6.70	    2.00
    6.00	    2.00
   15.20	    2.00
    9.00	    2.00
   12.30	    2.00
    5.10	    2.00
    9.40	    2.00
    5.00	    2.00
   15.20	    2.00
   12.50	    2.00
   11.70	    2.00
    8.90	    2.00
    5.80	    2.00
   17.50	    2.00
    3.80	    2.00
    5.50	    2.00
   11.90	    2.00
   11.70	    2.00
    2.90	    2.00
    6.80	    2.00
   10.10	    2.00
    3.30	    2.00
    6.30	    2.00
     .70	    2.00
   15.00	    2.00
    6.90	    2.00
    5.30	    2.00
    4.40	    2.00
    5.90	    2.00
   10.70	    2.00
   13.20	    2.00
   11.40	    2.00
    3.60	    2.00
    6.10	    2.00
   15.40	    2.00
    6.20	    2.00
    5.40	    2.00
    8.60	    2.00
    6.60	    2.00
   14.00	    2.00
    4.90	    2.00
    1.60	    2.00
   10.60	    2.00
   11.80	    2.00
