height	area
  172.00	       1
  163.00	       1
  177.00	       1
  177.00	       1
  198.00	       1
  176.00	       1
  170.00	       1
  166.00	       1
  171.00	       1
  159.00	       1
  188.00	       1
  162.00	       1
  152.00	       1
  175.00	       1
  170.00	       1
  171.00	       1
  172.00	       1
  179.00	       1
  166.00	       1
  166.00	       1
  175.00	       1
  186.00	       1
  177.00	       1
  181.00	       1
  163.00	       1
  168.00	       1
  155.00	       1
  167.00	       1
  168.00	       1
  177.00	       1
  154.00	       1
  156.00	       1
  189.00	       1
  169.00	       1
  163.00	       1
  185.00	       1
  159.00	       1
  178.00	       1
  193.00	       1
  167.00	       1
  168.00	       1
  163.00	       1
  177.00	       1
  165.00	       1
  157.00	       1
  170.00	       1
  166.00	       1
  177.00	       1
  193.00	       1
  168.00	       1
  165.00	       1
  180.00	       1
  157.00	       1
  179.00	       1
  172.00	       1
  169.00	       1
  162.00	       1
  151.00	       1
  166.00	       1
  170.00	       1
  153.00	       1
  176.00	       1
  181.00	       1
  189.00	       1
  173.00	       1
  177.00	       1
  181.00	       1
  150.00	       1
  188.00	       1
  181.00	       1
  182.00	       1
  176.00	       1
  162.00	       1
  175.00	       1
  170.00	       1
  171.00	       1
  168.00	       1
  162.00	       1
  158.00	       1
  163.00	       1
  159.00	       1
  166.00	       1
  161.00	       1
  169.00	       1
  163.00	       1
  173.00	       1
  168.00	       1
  174.00	       1
  178.00	       1
  160.00	       1
  192.00	       1
  165.00	       1
  195.00	       1
  173.00	       1
  187.00	       1
  199.00	       1
  185.00	       1
  178.00	       1
  170.00	       1
  152.00	       1
  186.00	       1
  196.00	       1
  153.00	       1
  169.00	       1
  156.00	       1
  174.00	       1
  183.00	       1
  168.00	       1
  168.00	       1
  177.00	       1
  173.00	       1
  165.00	       1
  155.00	       1
  167.00	       1
  168.00	       1
  159.00	       1
  171.00	       1
  156.00	       1
  193.00	       1
  167.00	       1
  177.00	       1
  170.00	       1
  168.00	       1
  164.00	       1
  172.00	       1
  161.00	       1
  181.00	       1
  169.00	       1
  182.00	       1
  157.00	       1
  162.00	       1
  162.00	       1
  173.00	       1
  181.00	       1
  159.00	       1
  166.00	       1
  164.00	       1
  176.00	       1
  158.00	       1
  154.00	       1
  165.00	       1
  164.00	       1
  150.00	       1
  156.00	       1
  172.00	       1
  167.00	       1
  163.00	       1
  187.00	       1
  178.00	       1
  188.00	       1
  168.00	       1
  177.00	       1
  173.00	       1
  181.00	       1
  166.00	       1
  170.00	       1
  169.00	       1
  200.00	       1
  183.00	       1
  177.00	       1
  161.00	       1
  156.00	       1
  183.00	       1
  167.00	       2
  164.00	       2
  162.00	       2
  164.00	       2
  159.00	       2
  172.00	       2
  160.00	       2
  155.00	       2
  166.00	       2
  164.00	       2
  164.00	       2
  165.00	       2
  150.00	       2
  154.00	       2
  168.00	       2
  162.00	       2
  162.00	       2
  167.00	       2
  171.00	       2
  167.00	       2
  169.00	       2
  161.00	       2
  163.00	       2
  157.00	       2
  163.00	       2
  163.00	       2
  167.00	       2
  156.00	       2
  158.00	       2
  173.00	       2
  164.00	       2
  161.00	       2
  171.00	       2
  159.00	       2
  168.00	       2
  175.00	       2
  163.00	       2
  163.00	       2
  161.00	       2
  167.00	       2
  162.00	       2
  158.00	       2
  164.00	       2
  162.00	       2
  167.00	       2
  175.00	       2
  163.00	       2
  162.00	       2
  169.00	       2
  158.00	       2
  168.00	       2
  165.00	       2
  164.00	       2
  160.00	       2
  155.00	       2
  162.00	       2
  164.00	       2
  156.00	       2
  167.00	       2
  169.00	       2
  173.00	       2
  165.00	       2
  167.00	       2
  169.00	       2
  154.00	       2
  173.00	       2
  169.00	       2
  169.00	       2
  167.00	       2
  160.00	       2
  166.00	       2
  164.00	       2
  164.00	       2
  163.00	       2
  160.00	       2
  159.00	       2
  161.00	       2
  154.00	       2
  159.00	       2
  162.00	       2
  160.00	       2
  164.00	       2
  161.00	       2
  165.00	       2
  182.00	       2
  163.00	       2
  179.00	       2
  166.00	       2
  168.00	       2
  160.00	       2
  174.00	       2
  162.00	       2
  176.00	       2
  165.00	       2
  172.00	       2
  178.00	       2
  171.00	       2
  168.00	       2
  164.00	       2
  156.00	       2
  172.00	       2
  176.00	       2
  156.00	       2
  151.00	       2
  163.00	       2
  158.00	       2
  166.00	       2
  170.00	       2
  163.00	       2
  163.00	       2
  167.00	       2
  165.00	       2
  162.00	       2
  157.00	       2
  154.00	       2
  163.00	       2
  163.00	       2
  159.00	       2
  165.00	       2
  157.00	       2
  175.00	       2
  163.00	       2
  167.00	       2
  164.00	       2
  163.00	       2
  161.00	       2
  165.00	       2
  160.00	       2
  169.00	       2
  163.00	       2
  169.00	       2
  158.00	       2
  160.00	       2
  160.00	       2
  165.00	       2
  169.00	       2
  159.00	       2
  162.00	       2
  161.00	       2
  167.00	       2
  159.00	       2
  156.00	       2
  162.00	       2
  161.00	       2
  155.00	       2
  157.00	       2
  165.00	       2
  162.00	       2
  161.00	       2
  172.00	       2
  168.00	       2
  172.00	       2
  163.00	       2
  167.00	       2
  166.00	       2
  169.00	       2
  162.00	       2
  164.00	       2
  164.00	       2
  178.00	       2
  170.00	       2
  167.00	       2
  160.00	       2
  157.00	       2
  151.00	       2
  170.00	       2
  161.00	       2
  162.00	       2
  173.00	       2
  158.00	       2
  158.00	       2
  160.00	       2
  160.00	       2
  168.00	       2
  159.00	       2
