x1	x2
  162.00	  175.00
  171.00	  170.00
  164.00	  159.00
  174.00	  156.00
  169.00	  166.00
  173.00	  155.00
  163.00	  158.00
  172.00	  159.00
  176.00	  153.00
  179.00	  157.00
  169.00	  174.00
  164.00	  159.00
  175.00	  156.00
  167.00	  170.00
  173.00	  160.00
  165.00	  165.00
  171.00	  166.00
  177.00	  172.00
  159.00	  160.00
  169.00	  173.00
  183.00	  170.00
  168.00	  163.00
  176.00	  166.00
  160.00	  172.00
  169.00	  176.00
  163.00	  165.00
  182.00	  174.00
  172.00	  162.00
  183.00	  164.00
  172.00	  172.00
  182.00	  169.00
  174.00	  161.00
  156.00	  175.00
  168.00	  173.00
  161.00	  167.00
  171.00	  183.00
  168.00	  168.00
  167.00	  164.00
  169.00	  177.00
  171.00	  162.00
  159.00	  161.00
  173.00	  157.00
  175.00	  160.00
  178.00	  185.00
  164.00	  168.00
  178.00	  150.00
  183.00	  162.00
  169.00	  166.00
  181.00	  164.00
  161.00	  161.00
