j3	s1	income	diff
   76.00	   82.00	2	    6.00
   80.00	   79.00	2	   -1.00
   64.00	   72.00	2	    8.00
   66.00	   78.00	3	   12.00
   89.00	   82.00	2	   -7.00
   86.00	   71.00	1	  -15.00
   75.00	   74.00	2	   -1.00
   72.00	   65.00	2	   -7.00
   42.00	   60.00	3	   18.00
   94.00	   86.00	1	   -8.00
   80.00	   83.00	2	    3.00
   82.00	   74.00	2	   -8.00
   58.00	   61.00	2	    3.00
   77.00	   81.00	2	    4.00
   75.00	   71.00	2	   -4.00
   60.00	   62.00	2	    2.00
   57.00	   63.00	2	    6.00
   72.00	   74.00	1	    2.00
   77.00	   70.00	1	   -7.00
   83.00	   68.00	3	  -15.00
   81.00	   80.00	2	   -1.00
   58.00	   73.00	2	   15.00
   83.00	   82.00	2	   -1.00
   68.00	   66.00	2	   -2.00
   50.00	   42.00	1	   -8.00
   79.00	   79.00	3	     .00
   83.00	   93.00	3	   10.00
   48.00	   60.00	3	   12.00
   81.00	   92.00	2	   11.00
   66.00	   75.00	3	    9.00
   84.00	   74.00	2	  -10.00
   54.00	   52.00	2	   -2.00
   63.00	   79.00	2	   16.00
   59.00	   68.00	1	    9.00
   88.00	   85.00	3	   -3.00
  100.00	   93.00	1	   -7.00
   71.00	   70.00	2	   -1.00
   68.00	   73.00	3	    5.00
   45.00	   45.00	1	     .00
   75.00	   72.00	2	   -3.00
   78.00	   78.00	2	     .00
   58.00	   64.00	2	    6.00
   98.00	   84.00	1	  -14.00
   99.00	   78.00	1	  -21.00
   70.00	   80.00	3	   10.00
   75.00	   80.00	2	    5.00
  100.00	   99.00	3	   -1.00
   78.00	   73.00	1	   -5.00
   97.00	   93.00	2	   -4.00
   76.00	   92.00	3	   16.00
