price	group
   27.20	    1.00
   13.50	    1.00
   14.50	    1.00
   20.10	    1.00
   18.90	    1.00
   23.90	    1.00
   19.10	    1.00
   22.20	    1.00
   13.70	    1.00
   16.20	    1.00
   15.30	    1.00
   15.40	    1.00
   29.50	    1.00
   22.50	    1.00
   24.50	    1.00
   18.70	    1.00
   22.80	    1.00
   17.70	    1.00
   16.50	    1.00
   12.90	    1.00
   10.90	    2.00
    9.90	    2.00
   16.00	    2.00
   27.60	    2.00
   18.50	    2.00
   23.60	    2.00
   42.30	    2.00
   13.00	    2.00
   19.00	    2.00
   13.50	    2.00
   23.70	    2.00
   23.70	    2.00
   22.00	    2.00
   11.20	    2.00
   20.20	    2.00
   14.60	    2.00
   20.30	    2.00
   18.80	    2.00
   41.10	    2.00
   25.50	    2.00
   23.20	    2.00
   12.40	    2.00
   26.60	    2.00
    8.50	    2.00
    1.50	    2.00
   21.80	    2.00
   22.90	    2.00
   25.90	    2.00
   33.10	    2.00
   22.90	    2.00
   31.20	    3.00
   30.40	    3.00
   22.10	    3.00
   17.80	    3.00
   29.10	    3.00
   19.90	    3.00
   31.00	    3.00
   26.10	    3.00
   13.60	    3.00
   31.90	    3.00
   30.40	    3.00
   28.70	    3.00
   13.90	    3.00
   24.30	    3.00
   32.00	    3.00
   31.60	    3.00
   18.60	    3.00
   27.20	    3.00
   23.20	    3.00
   48.20	    3.00
   18.20	    3.00
   19.40	    3.00
   31.50	    3.00
   23.20	    3.00
   22.20	    3.00
