age	sex opinion
   51.00	    1.00	     .00
   57.00	    1.00	     .00
   46.00	    1.00	     .00
   20.00	    1.00	    1.00
   50.00	     .00	     .00
   22.00	    1.00	     .00
   40.00	    1.00	     .00
   29.00	     .00	    1.00
   68.00	    1.00	     .00
   66.00	     .00	     .00
   28.00	    1.00	    1.00
   43.00	     .00	    1.00
   43.00	     .00	     .00
   53.00	     .00	    1.00
   69.00	    1.00	     .00
   63.00	     .00	    1.00
   47.00	     .00	    1.00
   67.00	     .00	     .00
   65.00	     .00	     .00
   66.00	    1.00	     .00
   24.00	     .00	     .00
   38.00	     .00	    1.00
   24.00	    1.00	     .00
   40.00	    1.00	    1.00
   33.00	    1.00	    1.00
   36.00	    1.00	    1.00
   68.00	    1.00	     .00
   28.00	     .00	    1.00
   43.00	     .00	    1.00
   58.00	    1.00	    1.00
   28.00	     .00	    1.00
   27.00	     .00	    1.00
   38.00	     .00	     .00
   40.00	    1.00	     .00
   64.00	     .00	    1.00
   63.00	    1.00	     .00
   26.00	     .00	    1.00
   43.00	     .00	     .00
   42.00	    1.00	    1.00
   56.00	    1.00	     .00
   51.00	    1.00	     .00
   22.00	     .00	    1.00
   29.00	     .00	    1.00
   69.00	    1.00	     .00
   64.00	     .00	     .00
   21.00	    1.00	     .00
   61.00	     .00	     .00
   45.00	    1.00	     .00
   51.00	     .00	     .00
   36.00	    1.00	    1.00
   26.00	    1.00	    1.00
   43.00	    1.00	     .00
   63.00	    1.00	     .00
   58.00	    1.00	     .00
   60.00	     .00	     .00
   53.00	    1.00	    1.00
   58.00	    1.00	     .00
   66.00	    1.00	     .00
   19.00	    1.00	     .00
   40.00	    1.00	     .00
   30.00	     .00	     .00
   45.00	    1.00	    1.00
   31.00	    1.00	    1.00
   43.00	    1.00	     .00
   38.00	     .00	    1.00
   30.00	    1.00	     .00
   68.00	    1.00	     .00
   34.00	    1.00	     .00
   33.00	    1.00	    1.00
   35.00	    1.00	    1.00
   52.00	    1.00	     .00
   70.00	    1.00	     .00
   63.00	    1.00	     .00
   23.00	     .00	    1.00
   63.00	    1.00	     .00
   51.00	    1.00	    1.00
   34.00	    1.00	     .00
   62.00	    1.00	     .00
   42.00	    1.00	    1.00
   68.00	    1.00	     .00
   37.00	     .00	     .00
   41.00	    1.00	     .00
   33.00	     .00	     .00
   68.00	    1.00	     .00
   63.00	    1.00	     .00
   33.00	    1.00	    1.00
   36.00	    1.00	    1.00
   41.00	     .00	    1.00
   49.00	    1.00	     .00
   51.00	     .00	    1.00
   20.00	    1.00	     .00
   30.00	    1.00	     .00
   37.00	     .00	    1.00
   35.00	     .00	    1.00
   51.00	    1.00	     .00
   51.00	    1.00	     .00
   25.00	    1.00	     .00
   18.00	    1.00	    1.00
   66.00	     .00	     .00
   33.00	    1.00	     .00
   23.00	     .00	    1.00
   42.00	     .00	    1.00
   35.00	    1.00	     .00
   27.00	    1.00	     .00
   64.00	    1.00	     .00
   54.00	     .00	    1.00
   21.00	     .00	    1.00
   52.00	    1.00	     .00
   54.00	    1.00	     .00
   60.00	    1.00	     .00
   60.00	    1.00	     .00
   22.00	    1.00	     .00
   67.00	    1.00	     .00
   35.00	    1.00	     .00
   56.00	     .00	    1.00
   25.00	     .00	    1.00
   24.00	    1.00	    1.00
   45.00	     .00	     .00
   21.00	    1.00	     .00
   67.00	    1.00	     .00
   27.00	     .00	    1.00
   63.00	    1.00	     .00
   45.00	     .00	     .00
   48.00	    1.00	    1.00
   21.00	     .00	    1.00
   56.00	    1.00	     .00
   57.00	    1.00	     .00
   51.00	    1.00	     .00
   28.00	     .00	    1.00
   58.00	    1.00	     .00
   69.00	    1.00	     .00
   42.00	     .00	     .00
   66.00	     .00	    1.00
   23.00	     .00	    1.00
   45.00	    1.00	     .00
   47.00	    1.00	     .00
   20.00	    1.00	    1.00
   40.00	    1.00	     .00
   60.00	    1.00	     .00
   60.00	    1.00	     .00
   43.00	     .00	    1.00
   34.00	    1.00	    1.00
   53.00	    1.00	     .00
   65.00	    1.00	     .00
   39.00	    1.00	     .00
   64.00	     .00	     .00
   39.00	     .00	    1.00
