year	male	female
 1900.00	   25.90	   21.90
 1910.00	   25.10	   21.60
 1920.00	   24.60	   21.20
 1930.00	   24.30	   21.30
 1940.00	   24.30	   21.50
 1950.00	   22.80	   20.30
 1960.00	   22.80	   20.30
 1965.00	   22.80	   20.60
 1970.00	   23.20	   20.80
 1975.00	   23.50	   21.10
 1980.00	   24.70	   22.00
 1985.00	   25.50	   23.30
 1990.00	   26.10	   23.90
 1991.00	   26.30	   24.10
 1992.00	   26.50	   24.40
 1993.00	   26.50	   24.50
 1994.00	   26.70	   24.50
 1995.00	   26.90	   24.50
 1996.00	   27.10	   24.80
 1997.00	   26.80	   25.00
 1998.00	   26.70	   25.00
