promot	service	sales	bonus
     .00	     .00	   23.00	    2.00
     .00	     .00	   19.00	    1.50
     .00	     .00	   17.00	    2.00
     .00	     .00	   26.00	    2.10
     .00	    1.00	   28.00	    1.50
     .00	    1.00	   23.00	    1.20
     .00	    1.00	   24.00	    1.60
     .00	    1.00	   30.00	    1.80
    1.00	     .00	   26.00	    1.80
    1.00	     .00	   22.00	    1.10
    1.00	     .00	   20.00	     .90
    1.00	     .00	   30.00	    2.10
    1.00	    1.00	   36.00	    2.10
    1.00	    1.00	   28.00	    1.21
    1.00	    1.00	   30.00	    1.91
    1.00	    1.00	   32.00	    2.15
    2.00	     .00	   30.00	    1.80
    2.00	     .00	   23.00	    1.20
    2.00	     .00	   25.00	    1.30
    2.00	     .00	   32.00	    1.92
    2.00	    1.00	   48.00	    1.70
    2.00	    1.00	   40.00	    1.30
    2.00	    1.00	   41.00	    1.20
    2.00	    1.00	   46.00	    1.81
