adds	sales	
     .02	   33.74
     .76	   34.77
     .89	   37.63
    2.27	   36.17
    2.40	   40.45
    4.98	   41.94
    7.27	   39.75
    5.81	   38.77
    6.72	   41.98
    5.86	   39.56
    6.95	   40.72
    6.96	   45.62
    7.00	   44.75
   10.13	   46.41
   10.04	   44.77
   10.31	   46.74
   11.61	   46.27
   10.34	   48.14
   13.17	   53.66
   12.53	   52.64
   11.90	   52.49
   13.79	   48.28
   13.95	   52.48
   13.39	   48.84
   16.44	   56.28
   18.08	   57.05
   16.31	   52.54
   15.60	   55.15
   15.65	   54.97
   15.18	   54.10
   15.77	   56.74
   15.76	   55.35
   16.11	   54.83
   16.63	   57.02
   17.88	   55.73
   18.90	   59.03
   17.33	   55.01
   18.12	   58.50
   18.51	   57.71
   16.54	   58.19
   16.35	   59.28
   14.80	   53.22
   16.59	   56.68
   18.77	   61.01
   16.39	   58.25
   18.29	   60.44
   18.04	   61.81
   15.67	   59.45
   18.32	   62.62
   17.05	   57.07
   15.91	   60.83
   16.14	   62.43
   15.86	   58.91
   18.50	   63.83
   16.71	   60.14
   16.43	   58.02
   15.15	   56.84
   15.82	   60.93
   13.40	   61.39
   15.52	   60.05
   14.91	   62.36
   13.68	   63.36
   12.74	   59.77
   12.52	   57.73
   14.10	   60.77
   12.44	   60.75
   11.94	   59.90
   10.16	   60.75
   10.22	   60.94
   11.31	   60.67
    8.21	   56.52
    8.58	   58.61
    8.14	   58.85
    7.73	   58.55
    4.27	   60.56
    5.72	   60.93
    3.94	   54.97
    5.02	   58.54
    2.67	   55.15
    1.80	   54.14
    3.81	   60.27
    1.73	   57.33
    1.87	   57.27
    2.63	   57.43
