sales	year	month	date
   39.01	    1990	 1	JAN 1990
   44.24	    1990	 2	FEB 1990
   39.50	    1990	 3	MAR 1990
   38.25	    1990	 4	APR 1990
   38.04	    1990	 5	MAY 1990
   44.15	    1990	 6	JUN 1990
   43.52	    1990	 7	JUL 1990
   46.65	    1990	 8	AUG 1990
   42.30	    1990	 9	SEP 1990
   41.87	    1990	10	OCT 1990
   39.52	    1990	11	NOV 1990
   35.18	    1990	12	DEC 1990
   44.25	    1991	 1	JAN 1991
   43.42	    1991	 2	FEB 1991
   38.90	    1991	 3	MAR 1991
   39.81	    1991	 4	APR 1991
   39.25	    1991	 5	MAY 1991
   40.96	    1991	 6	JUN 1991
   42.71	    1991	 7	JUL 1991
   45.06	    1991	 8	AUG 1991
   42.49	    1991	 9	SEP 1991
   43.14	    1991	10	OCT 1991
   43.04	    1991	11	NOV 1991
   35.31	    1991	12	DEC 1991
   40.09	    1992	 1	JAN 1992
   46.62	    1992	 2	FEB 1992
   39.65	    1992	 3	MAR 1992
   37.19	    1992	 4	APR 1992
   39.08	    1992	 5	MAY 1992
   43.70	    1992	 6	JUN 1992
   44.49	    1992	 7	JUL 1992
   49.65	    1992	 8	AUG 1992
   44.46	    1992	 9	SEP 1992
   44.69	    1992	10	OCT 1992
   42.01	    1992	11	NOV 1992
   38.17	    1992	12	DEC 1992
   44.72	    1993	 1	JAN 1993
   47.35	    1993	 2	FEB 1993
   40.44	    1993	 3	MAR 1993
   42.56	    1993	 4	APR 1993
   44.10	    1993	 5	MAY 1993
   45.65	    1993	 6	JUN 1993
   45.48	    1993	 7	JUL 1993
   50.65	    1993	 8	AUG 1993
   47.37	    1993	 9	SEP 1993
   48.99	    1993	10	OCT 1993
   46.14	    1993	11	NOV 1993
   42.03	    1993	12	DEC 1993
   48.94	    1994	 1	JAN 1994
   52.56	    1994	 2	FEB 1994
   41.40	    1994	 3	MAR 1994
   44.72	    1994	 4	APR 1994
   41.85	    1994	 5	MAY 1994
   50.92	    1994	 6	JUN 1994
   51.47	    1994	 7	JUL 1994
   55.87	    1994	 8	AUG 1994
   49.91	    1994	 9	SEP 1994
   51.23	    1994	10	OCT 1994
   50.44	    1994	11	NOV 1994
   44.63	    1994	12	DEC 1994
   50.77	    1995	 1	JAN 1995
   53.79	    1995	 2	FEB 1995
   47.13	    1995	 3	MAR 1995
   46.29	    1995	 4	APR 1995
   50.47	    1995	 5	MAY 1995
   53.00	    1995	 6	JUN 1995
   53.55	    1995	 7	JUL 1995
   53.49	    1995	 8	AUG 1995
   51.34	    1995	 9	SEP 1995
   55.42	    1995	10	OCT 1995
   50.94	    1995	11	NOV 1995
   47.73	    1995	12	DEC 1995
   55.45	    1996	 1	JAN 1996
   59.83	    1996	 2	FEB 1996
   50.91	    1996	 3	MAR 1996
   50.55	    1996	 4	APR 1996
   51.18	    1996	 5	MAY 1996
   56.49	    1996	 6	JUN 1996
   60.57	    1996	 7	JUL 1996
   61.63	    1996	 8	AUG 1996
   56.86	    1996	 9	SEP 1996
   57.02	    1996	10	OCT 1996
   56.34	    1996	11	NOV 1996
   50.29	    1996	12	DEC 1996
   58.36	    1997	 1	JAN 1997
   62.29	    1997	 2	FEB 1997
   55.88	    1997	 3	MAR 1997
   57.32	    1997	 4	APR 1997
   56.39	    1997	 5	MAY 1997
   63.28	    1997	 6	JUN 1997
   63.69	    1997	 7	JUL 1997
   65.90	    1997	 8	AUG 1997
   64.45	    1997	 9	SEP 1997
   65.09	    1997	10	OCT 1997
   60.57	    1997	11	NOV 1997
   58.17	    1997	12	DEC 1997
   67.68	    1998	 1	JAN 1998
   68.83	    1998	 2	FEB 1998
   62.67	    1998	 3	MAR 1998
   63.16	    1998	 4	APR 1998
   61.96	    1998	 5	MAY 1998
   68.44	    1998	 6	JUN 1998
   72.08	    1998	 7	JUL 1998
