led	hed	net	arti	com	man
   86.00	   43.00	   85.00	   43.00	   93.00	   71.00
   99.00	   74.00	   99.00	   78.00	   99.00	   89.00
   37.00	   22.00	   10.00	   27.00	   24.00	   33.00
    5.00	   19.00	   56.00	   13.00	   11.00	   38.00
   45.00	   43.00	   55.00	   39.00	   54.00	   58.00
   21.00	   32.00	   21.00	   34.00	   35.00	   32.00
   36.00	   78.00	   48.00	   75.00	   42.00	   78.00
   69.00	   31.00	   85.00	   32.00	   70.00	   52.00
   40.00	   98.00	   36.00	   99.00	   64.00	   86.00
   26.00	   14.00	   40.00	    8.00	   25.00	   21.00
   51.00	   68.00	   38.00	   68.00	   48.00	   72.00
   63.00	   86.00	   79.00	   87.00	   76.00	   95.00
   39.00	   80.00	   57.00	   80.00	   55.00	   68.00
   78.00	   40.00	   72.00	   42.00	   75.00	   58.00
   56.00	   49.00	   54.00	   48.00	   52.00	   61.00
   39.00	   80.00	   71.00	   76.00	   52.00	   81.00
   65.00	    5.00	   53.00	   11.00	   67.00	   41.00
   28.00	   11.00	   31.00	   12.00	   23.00	   35.00
   50.00	   32.00	   68.00	   23.00	   49.00	   58.00
   69.00	   98.00	   69.00	   97.00	   81.00	   99.00
   55.00	   99.00	   78.00	   97.00	   60.00	   90.00
   36.00	   11.00	    5.00	   15.00	   26.00	    5.00
   77.00	   18.00	   61.00	   27.00	   68.00	   54.00
   67.00	   33.00	   95.00	   34.00	   59.00	   61.00
   45.00	   87.00	   46.00	   85.00	   67.00	   80.00
   61.00	   72.00	   63.00	   63.00	   62.00	   75.00
   41.00	   63.00	   74.00	   55.00	   50.00	   76.00
    6.00	    5.00	   13.00	    5.00	    5.00	   13.00
   28.00	   53.00	   35.00	   51.00	   31.00	   59.00
   66.00	   20.00	   79.00	   18.00	   67.00	   55.00
