duration	type
    4.00	    1.00
    4.70	    1.00
    1.00	    1.00
   10.40	    1.00
    1.00	    1.00
    3.90	    1.00
    6.20	    1.00
    3.30	    1.00
    6.90	    1.00
    1.20	    1.00
   14.70	    1.00
    6.70	    1.00
    7.70	    1.00
     .80	    1.00
     .20	    1.00
   12.50	    1.00
    7.60	    1.00
    8.50	    1.00
    2.90	    1.00
   19.30	    1.00
   19.50	    1.00
   10.10	    1.00
    1.10	    1.00
     .10	    1.00
    2.30	    1.00
   11.80	    1.00
     .40	    1.00
   10.60	    1.00
    5.10	    1.00
     .70	    1.00
    2.68	    2.00
    8.64	    2.00
   11.17	    2.00
    2.29	    2.00
    3.28	    2.00
    3.84	    2.00
    1.45	    2.00
    4.04	    2.00
     .77	    2.00
    4.06	    2.00
     .07	    2.00
    2.91	    2.00
    2.18	    2.00
   19.78	    2.00
    5.82	    2.00
    5.24	    2.00
    5.67	    2.00
    1.88	    2.00
    2.16	    2.00
    4.16	    2.00
     .21	    2.00
    3.31	    2.00
    3.99	    2.00
    1.92	    2.00
   15.31	    2.00
