c1	c2	c3	c4
     .00	    1.00	    1.00	     .00
    1.00	    1.00	    1.00	     .00
     .00	     .00	    1.00	     .00
     .00	    1.00	     .00	     .00
     .00	    1.00	     .00	     .00
    1.00	    1.00	    1.00	     .00
    1.00	     .00	    1.00	     .00
    1.00	     .00	    1.00	    1.00
    1.00	    1.00	    1.00	     .00
    1.00	    1.00	     .00	    1.00
     .00	    1.00	    1.00	     .00
    1.00	    1.00	     .00	     .00
    1.00	    1.00	    1.00	     .00
    1.00	     .00	    1.00	     .00
    1.00	    1.00	    1.00	    1.00
     .00	     .00	     .00	    1.00
    1.00	    1.00	    1.00	     .00
    1.00	    1.00	    1.00	    1.00
    1.00	    1.00	     .00	     .00
     .00	    1.00	    1.00	     .00
